prompt,answer,reasoning
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 280.833 within the provided distribution?
Answer:
",0.006,<answer>0.006</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 280.833 within the provided distribution?
Answer:
",0.009,<answer>0.009</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 280.833 within the provided distribution?
Answer:
",1.78,<answer>1.78</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 280.833 within the provided distribution?
Answer:
",1.54,<answer>1.54</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 280.833 within the provided distribution?
Answer:
",4.74,<answer>4.74</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 280.833 within the provided distribution?
Answer:
",1.88,<answer>1.88</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 280.833 within the provided distribution?
Answer:
",0.07,<answer>0.07</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 280.833 within the provided distribution?
Answer:
",0,<answer>0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 280.833 within the provided distribution?
Answer:
",0,<answer>0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 280.833 within the provided distribution?
Answer:
",0.4,<answer>0.4</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 331.325 within the provided distribution?
Answer:
",1.22,<answer>1.22</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 331.325 within the provided distribution?
Answer:
",1.25,<answer>1.25</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 331.325 within the provided distribution?
Answer:
",2.57,<answer>2.57</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 331.325 within the provided distribution?
Answer:
",1.33,<answer>1.33</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 331.325 within the provided distribution?
Answer:
",1.77,<answer>1.77</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 331.325 within the provided distribution?
Answer:
",1.83,<answer>1.83</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 331.325 within the provided distribution?
Answer:
",1.5,<answer>1.5</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Consider the following distribution:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the value 331.325 within the provided distribution?
Answer:
",1.62,<answer>1.62</answer>
