prompt,answer,reasoning
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Normal Distribution
  Mean: 100
  Standard Deviation: 10
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",108,<answer>108</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Normal Distribution
  Mean: 100
  Standard Deviation: 10
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",97,<answer>97</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Normal Distribution
  Mean: 100
  Standard Deviation: 10
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",103,<answer>103</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Normal Distribution
  Mean: 100
  Standard Deviation: 10
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",108,<answer>108</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Normal Distribution
  Mean: 100
  Standard Deviation: 10
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",107,<answer>107</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Normal Distribution
  Mean: 100
  Standard Deviation: 10
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",103.5,<answer>103.5</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Normal Distribution
  Mean: 100
  Standard Deviation: 10
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",107,<answer>107</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Normal Distribution
  Mean: 100
  Standard Deviation: 10
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",108,<answer>108</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Normal Distribution
  Mean: 100
  Standard Deviation: 10
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",105,<answer>105</answer>
"
## You are an expert on statistics. Your task is to sample a number from a given distribution. Do not write any code or use any additional tools to perform the sampling. Answer with just a numerical response. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:



## Consider the following distribution:

  Distribution Type: Normal Distribution
  Mean: 100
  Standard Deviation: 10
  

## Instruction: Sample a number from the given distribution and output only the numerical value.
",103,<answer>103</answer>
