prompt,answer,reasoning
"
## You are an expert on population health and wearable fitness devices. Your task is to estimate the percentile of a given average sleep minutes count value for a population that regularly uses Fitbit devices and is active on a daily basis. The data is filtered for individuals aged 18-65. The data is age-balanced and gender-balanced, and pertains to the U.S. population only. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Note that the following distribution type and parameters correspond to this data:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the average sleep minutes count value 280.833 minutes for users of Fitbit devices?
Answer:
",0,<answer>0</answer>
"
## You are an expert on population health and wearable fitness devices. Your task is to estimate the percentile of a given average sleep minutes count value for a population that regularly uses Fitbit devices and is active on a daily basis. The data is filtered for individuals aged 18-65. The data is age-balanced and gender-balanced, and pertains to the U.S. population only. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Note that the following distribution type and parameters correspond to this data:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the average sleep minutes count value 280.833 minutes for users of Fitbit devices?
Answer:
",2,<answer>2</answer>
"
## You are an expert on population health and wearable fitness devices. Your task is to estimate the percentile of a given average sleep minutes count value for a population that regularly uses Fitbit devices and is active on a daily basis. The data is filtered for individuals aged 18-65. The data is age-balanced and gender-balanced, and pertains to the U.S. population only. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Note that the following distribution type and parameters correspond to this data:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the average sleep minutes count value 280.833 minutes for users of Fitbit devices?
Answer:
",0.18,<answer>0.18</answer>
"
## You are an expert on population health and wearable fitness devices. Your task is to estimate the percentile of a given average sleep minutes count value for a population that regularly uses Fitbit devices and is active on a daily basis. The data is filtered for individuals aged 18-65. The data is age-balanced and gender-balanced, and pertains to the U.S. population only. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Note that the following distribution type and parameters correspond to this data:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the average sleep minutes count value 280.833 minutes for users of Fitbit devices?
Answer:
",0.001,<answer>0.001</answer>
"
## You are an expert on population health and wearable fitness devices. Your task is to estimate the percentile of a given average sleep minutes count value for a population that regularly uses Fitbit devices and is active on a daily basis. The data is filtered for individuals aged 18-65. The data is age-balanced and gender-balanced, and pertains to the U.S. population only. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Note that the following distribution type and parameters correspond to this data:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the average sleep minutes count value 280.833 minutes for users of Fitbit devices?
Answer:
",0.0,<answer>0.0</answer>
"
## You are an expert on population health and wearable fitness devices. Your task is to estimate the percentile of a given average sleep minutes count value for a population that regularly uses Fitbit devices and is active on a daily basis. The data is filtered for individuals aged 18-65. The data is age-balanced and gender-balanced, and pertains to the U.S. population only. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Note that the following distribution type and parameters correspond to this data:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the average sleep minutes count value 280.833 minutes for users of Fitbit devices?
Answer:
",0,<answer>0</answer>
"
## You are an expert on population health and wearable fitness devices. Your task is to estimate the percentile of a given average sleep minutes count value for a population that regularly uses Fitbit devices and is active on a daily basis. The data is filtered for individuals aged 18-65. The data is age-balanced and gender-balanced, and pertains to the U.S. population only. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Note that the following distribution type and parameters correspond to this data:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the average sleep minutes count value 280.833 minutes for users of Fitbit devices?
Answer:
",0,<answer>0</answer>
"
## You are an expert on population health and wearable fitness devices. Your task is to estimate the percentile of a given average sleep minutes count value for a population that regularly uses Fitbit devices and is active on a daily basis. The data is filtered for individuals aged 18-65. The data is age-balanced and gender-balanced, and pertains to the U.S. population only. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Note that the following distribution type and parameters correspond to this data:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the average sleep minutes count value 280.833 minutes for users of Fitbit devices?
Answer:
",0.3,<answer>0.3</answer>
"
## You are an expert on population health and wearable fitness devices. Your task is to estimate the percentile of a given average sleep minutes count value for a population that regularly uses Fitbit devices and is active on a daily basis. The data is filtered for individuals aged 18-65. The data is age-balanced and gender-balanced, and pertains to the U.S. population only. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Note that the following distribution type and parameters correspond to this data:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the average sleep minutes count value 280.833 minutes for users of Fitbit devices?
Answer:
",0,<answer>0</answer>
"
## You are an expert on population health and wearable fitness devices. Your task is to estimate the percentile of a given average sleep minutes count value for a population that regularly uses Fitbit devices and is active on a daily basis. The data is filtered for individuals aged 18-65. The data is age-balanced and gender-balanced, and pertains to the U.S. population only. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Note that the following distribution type and parameters correspond to this data:


  Distribution Type: Skew-Normal Distribution
  Characteristics: A generalization of the normal distribution to accommodate skewness.
  Location: 427.930 (Shifts the distribution along the x-axis.)
  Scale: 58.050 (Controls the spread of the distribution.)
  Skew: -1.177 (Determines the direction and degree of skewness.)


## Here is your question:
Question:
What is the percentile of the average sleep minutes count value 280.833 minutes for users of Fitbit devices?
Answer:
",0.00,<answer>0.00</answer>
